,comptage_horaire,jour_ferie,vacances_scolaires,date_et_heure_de_comptage_utc,date_et_heure_de_comptage_local,date_et_heure_de_comptage_week_end,date_et_heure_de_comptage_sin_hour,date_et_heure_de_comptage_cos_hour,date_et_heure_de_comptage_sin_day_of_week,date_et_heure_de_comptage_cos_day_of_week,date_et_heure_de_comptage_sin_month,date_et_heure_de_comptage_cos_month
3252,278,1,Vacances d'Été,2024-07-14 15:00:00+00:00,2024-07-14 17:00:00+02:00,1,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
3253,303,1,Vacances d'Été,2024-07-14 16:00:00+00:00,2024-07-14 18:00:00+02:00,1,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
3254,378,1,Vacances d'Été,2024-07-14 17:00:00+00:00,2024-07-14 19:00:00+02:00,1,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
3255,366,1,Vacances d'Été,2024-07-14 18:00:00+00:00,2024-07-14 20:00:00+02:00,1,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
3256,240,1,Vacances d'Été,2024-07-14 19:00:00+00:00,2024-07-14 21:00:00+02:00,1,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
3257,262,1,Vacances d'Été,2024-07-14 20:00:00+00:00,2024-07-14 22:00:00+02:00,1,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
3258,183,1,Vacances d'Été,2024-07-14 21:00:00+00:00,2024-07-14 23:00:00+02:00,1,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
3259,145,0,Vacances d'Été,2024-07-14 22:00:00+00:00,2024-07-15 00:00:00+02:00,0,0.0,1.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388
3260,73,0,Vacances d'Été,2024-07-14 23:00:00+00:00,2024-07-15 01:00:00+02:00,0,0.25881904510252074,0.9659258262890683,0.0,1.0,-0.4999999999999997,-0.8660254037844388
3261,52,0,Vacances d'Été,2024-07-15 00:00:00+00:00,2024-07-15 02:00:00+02:00,0,0.49999999999999994,0.8660254037844387,0.0,1.0,-0.4999999999999997,-0.8660254037844388
3262,27,0,Vacances d'Été,2024-07-15 01:00:00+00:00,2024-07-15 03:00:00+02:00,0,0.7071067811865476,0.7071067811865476,0.0,1.0,-0.4999999999999997,-0.8660254037844388
